0.01	0.01	0.01
0.01	0.02	0.02
0.01	0.03	0.03
0.01	0.04	0.04
0.01	0.05	0.05
0.01	0.06	0.06
0.01	0.07	0.07
0.01	0.08	0.08
0.01	0.09	0.09
0.02	0.01	0.02
0.02	0.02	0.04
0.02	0.03	0.06
0.02	0.04	0.08
0.02	0.05	0.1
0.02	0.06	0.12
0.02	0.07	0.14
0.02	0.08	0.16
0.02	0.09	0.18
0.03	0.01	0.03
0.03	0.02	0.06
0.03	0.03	0.09
0.03	0.04	0.12
0.03	0.05	0.15
0.03	0.06	0.18
0.03	0.07	0.21
0.03	0.08	0.24
0.03	0.09	0.27
0.04	0.01	0.04
0.04	0.02	0.08
0.04	0.03	0.12
0.04	0.04	0.16
0.04	0.05	0.2
0.04	0.06	0.24
0.04	0.07	0.28
0.04	0.08	0.32
0.04	0.09	0.36
0.05	0.01	0.05
0.05	0.02	0.1
0.05	0.03	0.15
0.05	0.04	0.2
0.05	0.05	0.25
0.05	0.06	0.3
0.05	0.07	0.35
0.05	0.08	0.4
0.05	0.09	0.45
0.06	0.01	0.06
0.06	0.02	0.12
0.06	0.03	0.18
0.06	0.04	0.24
0.06	0.05	0.3
0.06	0.06	0.36
0.06	0.07	0.42
0.06	0.08	0.48
0.06	0.09	0.54
0.07	0.01	0.07
0.07	0.02	0.14
0.07	0.03	0.21
0.07	0.04	0.28
0.07	0.05	0.35
0.07	0.06	0.42
0.07	0.07	0.49
0.07	0.08	0.56
0.07	0.09	0.63
0.08	0.01	0.08
0.08	0.02	0.16
0.08	0.03	0.24
0.08	0.04	0.32
0.08	0.05	0.4
0.08	0.06	0.48
0.08	0.07	0.56
0.08	0.08	0.64
0.08	0.09	0.72
0.09	0.01	0.09
0.09	0.02	0.18
0.09	0.03	0.27
0.09	0.04	0.36
0.09	0.05	0.45
0.09	0.06	0.54
0.09	0.07	0.63
0.09	0.08	0.72
0.09	0.09	0.81
